"Hash","Removed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\linalg\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\ma\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\matrixlib\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\polynomial\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\random\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\random\tests\data\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\testing\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\testing\_private\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\testing\_private\__init__.pyi"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\typing\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\_pyinstaller\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\numpy\_pyinstaller\__init__.pyi"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\outcome\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\packaging\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\PIL\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\operations\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\operations\build\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\resolution\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_internal\utils\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\cachecontrol\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\certifi\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\dependency_groups\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\distro\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\idna\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\packaging\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\platformdirs\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\pyproject_hooks\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\resolvelib\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\rich\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\truststore\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\urllib3\packages\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip\_vendor\urllib3\packages\backports\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pip-25.2.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pkg_resources\_vendor\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pkg_resources\_vendor\jaraco\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\platformdirs\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pluggy\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit\commands\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit\languages\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit\meta_hooks\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit\resources\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pre_commit-4.2.0.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pydantic\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pydantic\deprecated\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pydantic\v1\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pydantic\_internal\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pydantic_core\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pytest\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pytest_asyncio\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pytest_asyncio-1.1.0.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\pytest_cov-6.2.1.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\python_dotenv-1.1.1.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\requests-stubs\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\selenium\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\selenium\webdriver\common\devtools\v136\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\selenium\webdriver\common\devtools\v137\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\selenium\webdriver\common\devtools\v138\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\selenium-4.34.2.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\setuptools\_vendor\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\setuptools\_vendor\jaraco\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\setuptools-65.5.0.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\sniffio\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\sniffio\_tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio\_core\_tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio\_tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio\_tests\tools\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio\_tools\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\trio_websocket\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\types_requests-2.32.4.20250611.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\types_urllib3-1.26.25.14.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\typing_inspection\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\typing_inspection\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\urllib3\contrib\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\urllib3-stubs\contrib\__init__.pyi"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\urllib3-stubs\packages\__init__.pyi"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\config\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\config\cli\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\create\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\create\via_global_ref\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\create\via_global_ref\builtin\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\create\via_global_ref\builtin\cpython\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\create\via_global_ref\builtin\pypy\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\discovery\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\run\plugin\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\seed\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\seed\embed\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\seed\embed\via_app_data\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\seed\embed\via_app_data\pip_install\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\virtualenv\util\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\websocket\py.typed"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\websocket\tests\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\wheel\vendored\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\wheel\vendored\packaging\__init__.py"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\wheel-0.45.1.dist-info\REQUESTED"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\SNS_24AutoProject_250723\venv\Lib\site-packages\_pytest\py.typed"
"44136FA355B3678A1146AD16F7E8649E94FB4FC21FE77E8310C060F61CAAFF8A","C:\SNS_24AutoProject_250723\tests\.pytest_cache\v\cache\lastfailed"
"E7C6BB30148CF667606DCD63E7CA77ACAA3CFB0C8303BF09E6419E1E1669DC6D","C:\SNS_24AutoProject_250723\core\.pytest_cache\.gitignore"
"E7C6BB30148CF667606DCD63E7CA77ACAA3CFB0C8303BF09E6419E1E1669DC6D","C:\SNS_24AutoProject_250723\modules\sns\.pytest_cache\.gitignore"
"E7C6BB30148CF667606DCD63E7CA77ACAA3CFB0C8303BF09E6419E1E1669DC6D","C:\SNS_24AutoProject_250723\tests\.pytest_cache\.gitignore"
"37DC88EF9A0ABEDDBE81053A6DD8FDFB13AFB613045EA1EB4A5C815A74A3BDE4","C:\SNS_24AutoProject_250723\core\.pytest_cache\CACHEDIR.TAG"
"37DC88EF9A0ABEDDBE81053A6DD8FDFB13AFB613045EA1EB4A5C815A74A3BDE4","C:\SNS_24AutoProject_250723\modules\sns\.pytest_cache\CACHEDIR.TAG"
"37DC88EF9A0ABEDDBE81053A6DD8FDFB13AFB613045EA1EB4A5C815A74A3BDE4","C:\SNS_24AutoProject_250723\tests\.pytest_cache\CACHEDIR.TAG"
"420E808D79A6C25D3CDA0AF33BC4782314A14949866682C68CE8149E89B66B70","C:\SNS_24AutoProject_250723\core\.pytest_cache\README.md"
"420E808D79A6C25D3CDA0AF33BC4782314A14949866682C68CE8149E89B66B70","C:\SNS_24AutoProject_250723\modules\sns\.pytest_cache\README.md"
"420E808D79A6C25D3CDA0AF33BC4782314A14949866682C68CE8149E89B66B70","C:\SNS_24AutoProject_250723\tests\.pytest_cache\README.md"
"4F53CDA18C2BAA0C0354BB5F9A3ECBE5ED12AB4D8E11BA873C2F11161202B945","C:\SNS_24AutoProject_250723\core\.pytest_cache\v\cache\nodeids"
